size_group,estimand,radius,metric,n_rows,estimate,ci_low,ci_high
t_8_16,o2m_pre_topk,0.03125,mean_jaccard,25230,0.9401065022262931,0.9374530187840905,0.9427463319755692
t_8_16,o2m_pre_topk,0.03125,mean_retention,25230,0.9975027043141452,0.9970040579376123,0.9979743763152686
t_8_16,o2m_pre_topk,0.03125,mean_jaccard_among_rank_changed,2701,0.8857092331032089,0.8685069717009591,0.9013657935520992
t_8_16,o2m_pre_topk,0.03125,mean_retention_among_rank_changed,2701,0.9945266457674631,0.9921816291282219,0.9967025339959861
t_8_16,o2m_assigned_positive,0.03125,rank_changed_rate,24951,0.10629371318964762,0.09834025123923089,0.11476561592248644
t_8_16,o2m_assigned_positive,0.03125,set_exact_changed_rate,24951,0.15419146107602666,0.14588783124149077,0.16229740424265007
t_8_16,o2m_assigned_positive,0.03125,rank_changed_set_exact_same_rate,24951,0.0799970720275492,0.07336587455589083,0.0871333338088718
t_8_16,o2m_assigned_positive,0.03125,rank_minus_set_exact_change_rate,24951,-0.047897747886378995,-0.05490588715241578,-0.04056930020191217
t_8_16,o2m_assigned_positive,0.03125,mean_jaccard,24951,0.941573125920628,0.9387272148576772,0.9442587039079363
t_8_16,o2m_assigned_positive,0.03125,mean_retention,24951,0.9975027043141452,0.9970040579376123,0.9979743763152686
t_8_16,o2m_assigned_positive,0.03125,mean_jaccard_among_rank_changed,2652,0.8940705117009239,0.8824604389444783,0.9055418270538311
t_8_16,o2m_assigned_positive,0.03125,mean_retention_among_rank_changed,2652,0.9936921314400432,0.9911290977206295,0.9960394981901903
s_16_32,o2m_legacy,0.03125,rank_changed_rate,3945,0.1979231308326758,0.16829831826591762,0.22623102657158595
s_16_32,o2m_legacy,0.03125,set_exact_changed_rate,3945,0.1959283351574247,0.18254229593628515,0.20885802835607273
s_16_32,o2m_legacy,0.03125,rank_changed_set_exact_same_rate,3945,0.1586228740526132,0.13310490487285917,0.1836428562977911
s_16_32,o2m_legacy,0.03125,rank_minus_set_exact_change_rate,3945,0.0019947956752510675,-0.028221092258428514,0.03450313708639226
s_16_32,o2m_legacy,0.03125,mean_jaccard,3945,0.950185506767189,0.9463519504734562,0.9540773772436724
s_16_32,o2m_legacy,0.03125,mean_retention,3945,0.9938574089668403,0.9922985193528399,0.9952072007580217
s_16_32,o2m_legacy,0.03125,mean_jaccard_among_rank_changed,781,0.9495314843043243,0.9369410507280911,0.9608104235214914
s_16_32,o2m_legacy,0.03125,mean_retention_among_rank_changed,781,0.9904872996322142,0.9865843231725743,0.9937635867201946
s_16_32,o2m_pre_topk,0.03125,rank_changed_rate,3945,0.1979231308326758,0.16829831826591762,0.22623102657158595
s_16_32,o2m_pre_topk,0.03125,set_exact_changed_rate,3945,0.1959283351574247,0.18254229593628515,0.20885802835607273
s_16_32,o2m_pre_topk,0.03125,rank_changed_set_exact_same_rate,3945,0.1586228740526132,0.13310490487285917,0.1836428562977911
s_16_32,o2m_pre_topk,0.03125,rank_minus_set_exact_change_rate,3945,0.0019947956752510675,-0.028221092258428514,0.03450313708639226
s_16_32,o2m_pre_topk,0.03125,mean_jaccard,3945,0.950185506767189,0.9463519504734562,0.9540773772436724
s_16_32,o2m_pre_topk,0.03125,mean_retention,3945,0.9938574089668403,0.9922985193528399,0.9952072007580217
s_16_32,o2m_pre_topk,0.03125,mean_jaccard_among_rank_changed,781,0.9495314843043243,0.9369410507280911,0.9608104235214914
s_16_32,o2m_pre_topk,0.03125,mean_retention_among_rank_changed,781,0.9904872996322142,0.9865843231725743,0.9937635867201946
s_16_32,o2m_assigned_positive,0.03125,rank_changed_rate,3945,0.19741601088104554,0.16795201774920943,0.22567121044429367
s_16_32,o2m_assigned_positive,0.03125,set_exact_changed_rate,3945,0.1959283351574247,0.18254229593628515,0.20885802835607273
s_16_32,o2m_assigned_positive,0.03125,rank_changed_set_exact_same_rate,3945,0.15811575410098294,0.13267690460485954,0.1830788882764094
s_16_32,o2m_assigned_positive,0.03125,rank_minus_set_exact_change_rate,3945,0.0014876757236208186,-0.02879724047199051,0.03425229772735193
s_16_32,o2m_assigned_positive,0.03125,mean_jaccard,3945,0.950185506767189,0.9463519504734562,0.9540773772436724
s_16_32,o2m_assigned_positive,0.03125,mean_retention,3945,0.9938574089668403,0.9922985193528399,0.9952072007580217
s_16_32,o2m_assigned_positive,0.03125,mean_jaccard_among_rank_changed,779,0.949401841368454,0.9368484811224128,0.9607293548058822
s_16_32,o2m_assigned_positive,0.03125,mean_retention_among_rank_changed,779,0.9904628635181987,0.986548274104473,0.9937635867201946
all,o2m_legacy,0.0625,rank_changed_rate,29164,0.20351086133983123,0.19010817514242254,0.2177219017470729
all,o2m_legacy,0.0625,set_exact_changed_rate,29164,0.20323916933889263,0.18797759082293236,0.2185797117022591
